label,content,clean,norm,stop,token,stem
positif,"memudahkan sekali semuanya,belanja dll",memudahkan sekali semuanyabelanja dll, memudahkan sekali semuanyabelanja dll , memudahkan sekali semuanyabelanja ,"['memudahkan', 'sekali', 'semuanyabelanja']",mudah sekali semuanyabelanja
positif,mntap betul,mntap betul, mntap betul , mntap betul ,"['mntap', 'betul']",mntap betul
negatif,"admin lambat responnya,sama sekali tidak membantu masalah costumer,cuma kebanyakan puisi aja adminnya",admin lambat responnyasama sekali tidak membantu masalah costumercuma kebanyakan puisi aja adminnya, admin lambat responnyasama sekali tidak membantu masalah costumercuma kebanyakan puisi aja adminnya , admin lambat responnyasama sekali membantu masalah costumercuma kebanyakan puisi aja adminnya ,"['admin', 'lambat', 'responnyasama', 'sekali', 'membantu', 'masalah', 'costumercuma', 'kebanyakan', 'puisi', 'aja', 'adminnya']",admin lambat responnyasama sekali bantu masalah costumercuma banyak puisi aja adminnya
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
negatif,"Oeder barang dicancel. Sama seller juga uda dicancel langsung. Tapi sama blibli dana refund ditahan2 sampe 3 hari ga balik2 juga. Parahhh su barang ga dapet, duit ga balik. Ga tau nunggu berapa lama lagi. Duit puluhan ribu doank aja susah banget minta balikin. Ga lagi2 dah.",oeder barang dicancel sama seller juga uda dicancel langsung tapi sama blibli dana refund ditahan2 sampe 3 hari ga balik2 juga parahhh su barang ga dapet duit ga balik ga tau nunggu berapa lama lagi duit puluhan ribu doank aja susah banget minta balikin ga lagi2 dah, oeder barang dicancel sama seller juga uda dicancel langsung tapi sama blibli dana refund ditahan2 sampe 3 hari tidak balik2 juga parahhh su barang tidak dapet duit tidak balik tidak tau nunggu berapa lama lagi duit puluhan ribu doank aja susah banget minta balikin tidak lagi2 dah , oeder barang dicancel sama seller uda dicancel langsung sama blibli dana refund ditahan2 sampe 3 hari balik2 parahhh su barang dapet duit balik tau nunggu berapa lama duit puluhan ribu doank aja susah banget minta balikin lagi2 dah ,"['oeder', 'barang', 'dicancel', 'sama', 'seller', 'uda', 'dicancel', 'langsung', 'sama', 'blibli', 'dana', 'refund', 'ditahan2', 'sampe', '3', 'hari', 'balik2', 'parahhh', 'su', 'barang', 'dapet', 'duit', 'balik', 'tau', 'nunggu', 'berapa', 'lama', 'duit', 'puluhan', 'ribu', 'doank', 'aja', 'susah', 'banget', 'minta', 'balikin', 'lagi2', 'dah']",oeder barang dicancel sama seller uda dicancel langsung sama blibli dana refund ditahan2 sampe 3 hari balik2 parahhh su barang dapet duit balik tau nunggu berapa lama duit puluh ribu doank aja susah banget minta balikin lagi2 dah
positif,awesome,awesome, awesome , awesome ,['awesome'],awesome
positif,"Bli Bli tambah keren, mulai menyukai lagi",bli bli tambah keren mulai menyukai lagi, bli bli tambah keren mulai menyukai lagi , bli bli tambah keren mulai menyukai ,"['bli', 'bli', 'tambah', 'keren', 'mulai', 'menyukai']",bli bli tambah keren mulai suka
positif,aplikasi yang harus selalu ada tiap saya ganti hp. terimakasih blibli.,aplikasi yang harus selalu ada tiap saya ganti hp terimakasih blibli, aplikasi yang harus selalu ada tiap saya ganti hp terimakasih blibli , aplikasi harus selalu tiap ganti hp terimakasih blibli ,"['aplikasi', 'harus', 'selalu', 'tiap', 'ganti', 'hp', 'terimakasih', 'blibli']",aplikasi harus selalu tiap ganti hp terimakasih blibli
positif,bagus,bagus, bagus , bagus ,['bagus'],bagus
positif,Banyak promo digitalnya,banyak promo digitalnya, banyak promo digitalnya , promo digitalnya ,"['promo', 'digitalnya']",promo digital
negatif,GAK ADA PROMO SAMA SEKALI DAN ONGKIRNYA MAHALLLLLL BANGETTTTTTTT,gak ada promo sama sekali dan ongkirnya mahallllll bangetttttttt, tidak ada promo sama sekali dan ongkirnya mahallllll bangetttttttt , ada promo sama sekali ongkirnya mahallllll bangetttttttt ,"['ada', 'promo', 'sama', 'sekali', 'ongkirnya', 'mahallllll', 'bangetttttttt']",ada promo sama sekali ongkirnya mahallllll bangetttttttt
positif,produk yg dijual berkualitas Dan pengirimannya cepat,produk yg dijual berkualitas dan pengirimannya cepat, produk yang dijual berkualitas dan pengirimannya cepat , produk dijual berkualitas pengirimannya cepat ,"['produk', 'dijual', 'berkualitas', 'pengirimannya', 'cepat']",produk jual kualitas kirim cepat
positif,mantap betul,mantap betul, mantap betul , mantap betul ,"['mantap', 'betul']",mantap betul
negatif,sekarang pengiriman lamban!!! payah!!! mau cancel ga bisa!!! payah!!!,sekarang pengiriman lamban payah mau cancel ga bisa payah, sekarang pengiriman lamban payah mau cancel tidak bisa payah , sekarang pengiriman lamban payah mau cancel bisa payah ,"['sekarang', 'pengiriman', 'lamban', 'payah', 'mau', 'cancel', 'bisa', 'payah']",sekarang kirim lamban payah mau cancel bisa payah
positif,"lebih keren, mudah di pahami",lebih keren mudah di pahami, lebih keren mudah di pahami , keren mudah pahami ,"['keren', 'mudah', 'pahami']",keren mudah paham
positif,okey,okey, okey , okey ,['okey'],okey
negatif,kelengkapan barang yg dijual di apk ini tdk selengkap di shopee&tokped. dan penggunaan poin cashback tdk bisa sepenuhnya digunakan seperti shopee.,kelengkapan barang yg dijual di apk ini tdk selengkap di shopeetokped dan penggunaan poin cashback tdk bisa sepenuhnya digunakan seperti shopee, kelengkapan barang yang dijual di apk ini tidak selengkap di shopeetokped dan penggunaan poin cashback tidak bisa sepenuhnya digunakan seperti shopee , kelengkapan barang dijual apk selengkap shopeetokped penggunaan poin cashback tidak bisa sepenuhnya digunakan shopee ,"['kelengkapan', 'barang', 'dijual', 'apk', 'selengkap', 'shopeetokped', 'penggunaan', 'poin', 'cashback', 'tidak', 'bisa', 'sepenuhnya', 'digunakan', 'shopee']",lengkap barang jual apk lengkap shopeetokped guna poin cashback tidak bisa sepenuh guna shopee
positif,cpt..tdk ribet..,cpttdk ribet, cpttdk ribet , cpttdk ribet ,"['cpttdk', 'ribet']",cpttdk ribet
positif,mantaaaap,mantaaaap, mantaaaap , mantaaaap ,['mantaaaap'],mantaaaap
netral,mantul aplikasinya,mantul aplikasinya, mantul aplikasinya , mantul aplikasinya ,"['mantul', 'aplikasinya']",mantul aplikasi
netral,mantaps terpercaya,mantaps terpercaya, mantaps terpercaya , mantaps terpercaya ,"['mantaps', 'terpercaya']",mantaps percaya
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
positif,mantapppo,mantapppo, mantapppo , mantapppo ,['mantapppo'],mantapppo
positif,"spin the wheel nya bagus ya keren change yang poin 50 = 60% , poin 75 = 35% , poin 100 = 15% dan poin 200 = 5% sisa hadiah utama seperti emas 2 gram = 0% dan hadiah yang lainnya",spin the wheel nya bagus ya keren change yang poin 50 60 poin 75 35 poin 100 15 dan poin 200 5 sisa hadiah utama seperti emas 2 gram 0 dan hadiah yang lainnya, spin the wheel nya bagus ya keren change yang poin 50 60 poin 75 35 poin 100 15 dan poin 200 5 sisa hadiah utama seperti emas 2 gram 0 dan hadiah yang lainnya , spin the wheel nya bagus keren change poin 50 60 poin 75 35 poin 100 15 poin 200 5 sisa hadiah utama emas 2 gram 0 hadiah lainnya ,"['spin', 'the', 'wheel', 'nya', 'bagus', 'keren', 'change', 'poin', '50', '60', 'poin', '75', '35', 'poin', '100', '15', 'poin', '200', '5', 'sisa', 'hadiah', 'utama', 'emas', '2', 'gram', '0', 'hadiah', 'lainnya']",spin the wheel nya bagus keren change poin 50 60 poin 75 35 poin 100 15 poin 200 5 sisa hadiah utama emas 2 gram 0 hadiah lain
positif,Dikala semakin hancurnya si Ijo dan boycot oren. Blibli menjadi marketplace terbaik yang pernah saya gunakan,dikala semakin hancurnya si ijo dan boycot oren blibli menjadi marketplace terbaik yang pernah saya gunakan, dikala semakin hancurnya si ijo dan boycot oren blibli menjadi marketplace terbaik yang pernah saya gunakan , dikala semakin hancurnya si ijo boycot oren blibli menjadi marketplace terbaik pernah gunakan ,"['dikala', 'semakin', 'hancurnya', 'si', 'ijo', 'boycot', 'oren', 'blibli', 'menjadi', 'marketplace', 'terbaik', 'pernah', 'gunakan']",kala makin hancur si ijo boycot oren blibli jadi marketplace baik pernah guna
netral,Goodjob 👍,goodjob, goodjob , goodjob ,['goodjob'],goodjob
positif,"puas pisan belanja di sini mah pokona rekomendasi buat yang mau belanja online mending di sini aja, aplikasi belajar online terpercaya no ribet no tipu tipu.. terimakasih",puas pisan belanja di sini mah pokona rekomendasi buat yang mau belanja online mending di sini aja aplikasi belajar online terpercaya no ribet no tipu tipu terimakasih, puas pisan belanja di sini mah pokona rekomendasi buat yang mau belanja online mending di sini aja aplikasi belajar online terpercaya no ribet no tipu tipu terimakasih , puas pisan belanja sini mah pokona rekomendasi buat mau belanja online mending sini aja aplikasi belajar online terpercaya no ribet no tipu tipu terimakasih ,"['puas', 'pisan', 'belanja', 'sini', 'mah', 'pokona', 'rekomendasi', 'buat', 'mau', 'belanja', 'online', 'mending', 'sini', 'aja', 'aplikasi', 'belajar', 'online', 'terpercaya', 'no', 'ribet', 'no', 'tipu', 'tipu', 'terimakasih']",puas pis belanja sini mah pokona rekomendasi buat mau belanja online mending sini aja aplikasi ajar online percaya no ribet no tipu tipu terimakasih
netral,ngelag. dibuka ga respon. males bgt,ngelag dibuka ga respon males bgt, ngelag dibuka tidak respon males bgt , ngelag dibuka respon males bgt ,"['ngelag', 'dibuka', 'respon', 'males', 'bgt']",ngelag buka respon males bgt
positif,satset.. sukses selalu,satset sukses selalu, satset sukses selalu , satset sukses selalu ,"['satset', 'sukses', 'selalu']",satset sukses selalu
negatif,Barang rusak di jual. giliran di retur sangat sulit prosesnya. dan memakan waktu lama.,barang rusak di jual giliran di retur sangat sulit prosesnya dan memakan waktu lama, barang rusak di jual giliran di retur sangat sulit prosesnya dan memakan waktu lama , barang rusak jual giliran retur sulit prosesnya memakan waktu lama ,"['barang', 'rusak', 'jual', 'giliran', 'retur', 'sulit', 'prosesnya', 'memakan', 'waktu', 'lama']",barang rusak jual gilir retur sulit proses makan waktu lama
positif,aman,aman, aman , aman ,['aman'],aman
positif,cepat dan mudah,cepat dan mudah, cepat dan mudah , cepat mudah ,"['cepat', 'mudah']",cepat mudah
negatif,"barang hilang status pesanan terkirim, hubungi cs susah minta ampun, kacau sistemnya blibli",barang hilang status pesanan terkirim hubungi cs susah minta ampun kacau sistemnya blibli, barang hilang status pesanan terkirim hubungi cs susah minta ampun kacau sistemnya blibli , barang hilang status pesanan terkirim hubungi cs susah minta ampun kacau sistemnya blibli ,"['barang', 'hilang', 'status', 'pesanan', 'terkirim', 'hubungi', 'cs', 'susah', 'minta', 'ampun', 'kacau', 'sistemnya', 'blibli']",barang hilang status pesan kirim hubung cs susah minta ampun kacau sistem blibli
negatif,"pihak aplikasi kurang ketat, banyak penjual culas dan gak bisa batalin pembelian.",pihak aplikasi kurang ketat banyak penjual culas dan gak bisa batalin pembelian, pihak aplikasi kurang ketat banyak penjual culas dan tidak bisa batalin pembelian , pihak aplikasi kurang ketat penjual culas tidak batalin pembelian ,"['pihak', 'aplikasi', 'kurang', 'ketat', 'penjual', 'culas', 'tidak', 'batalin', 'pembelian']",pihak aplikasi kurang ketat jual culas tidak batalin beli
negatif,PENGIRIMAN LAMA CS LELET TIDAK ADA SOLUSI,pengiriman lama cs lelet tidak ada solusi, pengiriman lama cs lelet tidak ada solusi , pengiriman lama cs lelet ada solusi ,"['pengiriman', 'lama', 'cs', 'lelet', 'ada', 'solusi']",kirim lama cs lelet ada solusi
negatif,"pengembalian dananya susah, pesanan udah diretur udh dikirim balik barannya tp ditolak tp jd zonk barang ga dapet duit pun ilang",pengembalian dananya susah pesanan udah diretur udh dikirim balik barannya tp ditolak tp jd zonk barang ga dapet duit pun ilang, pengembalian dananya susah pesanan udah diretur udh dikirim balik barannya tp ditolak tp jd zonk barang tidak dapet duit pun ilang , pengembalian dananya susah pesanan udah diretur udh dikirim balik barannya tp ditolak tp jd zonk barang dapet duit ilang ,"['pengembalian', 'dananya', 'susah', 'pesanan', 'udah', 'diretur', 'udh', 'dikirim', 'balik', 'barannya', 'tp', 'ditolak', 'tp', 'jd', 'zonk', 'barang', 'dapet', 'duit', 'ilang']",kembali dana susah pesan udah retur udh kirim balik baran tp tolak tp jd zonk barang dapet duit ilang
positif,Terbaikkkkk,terbaikkkkk, terbaikkkkk , terbaikkkkk ,['terbaikkkkk'],terbaikkkkk
negatif,suara notifikasi nya ganggu bgt,suara notifikasi nya ganggu bgt, suara notifikasi nya ganggu bgt , suara notifikasi nya ganggu bgt ,"['suara', 'notifikasi', 'nya', 'ganggu', 'bgt']",suara notifikasi nya ganggu bgt
negatif,ga bisa didownload di hp oppo A71,ga bisa didownload di hp oppo a71, tidak bisa didownload di hp oppo a71 , bisa didownload hp oppo a71 ,"['bisa', 'didownload', 'hp', 'oppo', 'a71']",bisa didownload hp oppo a71
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
positif,Banyak voucher diskon dan seller variatif,banyak voucher diskon dan seller variatif, banyak voucher diskon dan seller variatif , voucher diskon seller variatif ,"['voucher', 'diskon', 'seller', 'variatif']",voucher diskon seller variatif
negatif,"tolong dong kurir nya di tegasin lagi, jgn males buat menghubungi cust.. masa alamat saya sudah lengkap, masih di bilang alamat ga lengkap, kadang org nya tidak di rumah (pdhal ada). no. wa pun aktip terus tapi ga ada menghubungi, sampe akhirnya paketnya gagal dikirim.. sudah brp kli terjadi.. sangat meresahkan. !! tolong ya Blibi di kasih sanksi saja kurir yg malesan gitu !!",tolong dong kurir nya di tegasin lagi jgn males buat menghubungi cust masa alamat saya sudah lengkap masih di bilang alamat ga lengkap kadang org nya tidak di rumah pdhal ada no wa pun aktip terus tapi ga ada menghubungi sampe akhirnya paketnya gagal dikirim sudah brp kli terjadi sangat meresahkan tolong ya blibi di kasih sanksi saja kurir yg malesan gitu, tolong dong kurir nya di tegasin lagi jgn males buat menghubungi cust masa alamat saya sudah lengkap masih di bilang alamat tidak lengkap kadang org nya tidak di rumah pdhal ada no wa pun aktip terus tapi tidak ada menghubungi sampe akhirnya paketnya gagal dikirim sudah brp kli terjadi sangat meresahkan tolong ya blibi di kasih sanksi saja kurir yang malesan gitu , dong kurir nya tegasin jgn males buat menghubungi cust masa alamat lengkap bilang alamat lengkap kadang org nya di rumah pdhal no wa aktip terus tidak menghubungi sampe akhirnya paketnya gagal dikirim sudah brp kli terjadi meresahkan ya blibi di kasih sanksi kurir malesan gitu ,"['dong', 'kurir', 'nya', 'tegasin', 'jgn', 'males', 'buat', 'menghubungi', 'cust', 'masa', 'alamat', 'lengkap', 'bilang', 'alamat', 'lengkap', 'kadang', 'org', 'nya', 'di', 'rumah', 'pdhal', 'no', 'wa', 'aktip', 'terus', 'tidak', 'menghubungi', 'sampe', 'akhirnya', 'paketnya', 'gagal', 'dikirim', 'sudah', 'brp', 'kli', 'terjadi', 'meresahkan', 'ya', 'blibi', 'di', 'kasih', 'sanksi', 'kurir', 'malesan', 'gitu']",dong kurir nya tegasin jgn males buat hubung cust masa alamat lengkap bilang alamat lengkap kadang org nya di rumah pdhal no wa aktip terus tidak hubung sampe akhir paket gagal kirim sudah brp kli jadi resah ya blibi di kasih sanksi kurir malesan gitu
negatif,"Ecom terlemot asliii. Seller uda cancel di sistem bliblinya ga dicancel2. Proses refund juga lama..Masa orderan yg sama direfundnya dicicil ga barengan. Di ecom laen klo seller uda cancel dana otomatis balik ke akun. Lah ini blibli aneh banget nahan2 duit orang. Mikir2 lg lah mau order disini lagi klo kaya gini mah. Klo duit mepet belanja disini uda susah ini mah. Barang ga dapet, duit lama balik. Reund tuh harusnya cepet, karena uangnya mau buat beli lg barangngya. Jangan nahanw yg bukan haknya",ecom terlemot asliii seller uda cancel di sistem bliblinya ga dicancel2 proses refund juga lamamasa orderan yg sama direfundnya dicicil ga barengan di ecom laen klo seller uda cancel dana otomatis balik ke akun lah ini blibli aneh banget nahan2 duit orang mikir2 lg lah mau order disini lagi klo kaya gini mah klo duit mepet belanja disini uda susah ini mah barang ga dapet duit lama balik reund tuh harusnya cepet karena uangnya mau buat beli lg barangngya jangan nahanw yg bukan haknya, ecom terlemot asliii seller uda cancel di sistem bliblinya tidak dicancel2 proses refund juga lamamasa orderan yang sama direfundnya dicicil tidak barengan di ecom laen klo seller uda cancel dana otomatis balik ke akun lah ini blibli aneh banget nahan2 duit orang mikir2 lg lah mau order disini lagi klo kaya gini mah klo duit mepet belanja disini uda susah ini mah barang tidak dapet duit lama balik reund tuh harusnya cepet karena uangnya mau buat beli lg barangngya jangan nahanw yang bukan haknya , ecom terlemot asliii seller uda cancel sistem bliblinya dicancel2 proses refund lamamasa orderan sama direfundnya dicicil barengan ecom laen klo seller uda cancel dana otomatis balik akun lah blibli aneh banget nahan2 duit orang mikir2 lg lah mau order disini klo kaya gini mah klo duit mepet belanja disini uda susah mah barang dapet duit lama balik reund tuh harusnya cepet uangnya mau buat beli lg barangngya jangan nahanw bukan haknya ,"['ecom', 'terlemot', 'asliii', 'seller', 'uda', 'cancel', 'sistem', 'bliblinya', 'dicancel2', 'proses', 'refund', 'lamamasa', 'orderan', 'sama', 'direfundnya', 'dicicil', 'barengan', 'ecom', 'laen', 'klo', 'seller', 'uda', 'cancel', 'dana', 'otomatis', 'balik', 'akun', 'lah', 'blibli', 'aneh', 'banget', 'nahan2', 'duit', 'orang', 'mikir2', 'lg', 'lah', 'mau', 'order', 'disini', 'klo', 'kaya', 'gini', 'mah', 'klo', 'duit', 'mepet', 'belanja', 'disini', 'uda', 'susah', 'mah', 'barang', 'dapet', 'duit', 'lama', 'balik', 'reund', 'tuh', 'harusnya', 'cepet', 'uangnya', 'mau', 'buat', 'beli', 'lg', 'barangngya', 'jangan', 'nahanw', 'bukan', 'haknya']",ecom lot asliii seller uda cancel sistem bliblinya dicancel2 proses refund lamamasa order sama direfundnya cicil bareng ecom laen klo seller uda cancel dana otomatis balik akun lah blibli aneh banget nahan2 duit orang mikir2 lg lah mau order sini klo kaya gin mah klo duit mepet belanja sini uda susah mah barang dapet duit lama balik reund tuh harus cepet uang mau buat beli lg barangngya jangan nahanw bukan hak
positif,"aplikasi terbaik, saya sangat suka berbelanja disini terutama beli barang elektronik 👍👍👍👍👍. minn mau kasih info aku dapat hadiah undian voucher jam garmin 5jt😄. Terimakasih banyakkkkk 🙏🙏🙏",aplikasi terbaik saya sangat suka berbelanja disini terutama beli barang elektronik minn mau kasih info aku dapat hadiah undian voucher jam garmin 5jt terimakasih banyakkkkk, aplikasi terbaik saya sangat suka berbelanja disini terutama beli barang elektronik minn mau kasih info aku dapat hadiah undian voucher jam garmin 5jt terimakasih banyakkkkk , aplikasi terbaik sangat suka berbelanja disini terutama beli barang elektronik minn mau kasih info aku hadiah undian voucher jam garmin 5jt terimakasih banyakkkkk ,"['aplikasi', 'terbaik', 'sangat', 'suka', 'berbelanja', 'disini', 'terutama', 'beli', 'barang', 'elektronik', 'minn', 'mau', 'kasih', 'info', 'aku', 'hadiah', 'undian', 'voucher', 'jam', 'garmin', '5jt', 'terimakasih', 'banyakkkkk']",aplikasi baik sangat suka belanja sini utama beli barang elektronik minn mau kasih info aku hadiah undi voucher jam garmin 5jt terimakasih banyakkkkk
negatif,belanja soklin 5 dus aturan pake. gocar grabcar bisa sekarang ga bisa kena ongkirnya 160.000padahal deket dikrim pake delivreee,belanja soklin 5 dus aturan pake gocar grabcar bisa sekarang ga bisa kena ongkirnya 160000padahal deket dikrim pake delivreee, belanja soklin 5 dus aturan pake gocar grabcar bisa sekarang tidak bisa kena ongkirnya 160000padahal deket dikrim pake delivreee , belanja soklin 5 dus aturan pake gocar grabcar sekarang bisa kena ongkirnya 160000padahal deket dikrim pake delivreee ,"['belanja', 'soklin', '5', 'dus', 'aturan', 'pake', 'gocar', 'grabcar', 'sekarang', 'bisa', 'kena', 'ongkirnya', '160000padahal', 'deket', 'dikrim', 'pake', 'delivreee']",belanja soklin 5 dus atur pake gocar grabcar sekarang bisa kena ongkirnya 160000padahal deket krim pake delivreee
negatif,"selama beli oli di Blibli dari dulu ngga pernah bermasalah sudah ada 3kali beli oli dikirim oli yg deskripsi berikut kartu ganti oli, yg 2kali ngga tanya cust. service tapi yg ke3 kali tanya dulu dan pihak Blibli menyatakan dapet kartu ganti oli, dan kirim tapi tidak ada kartu ganti oli, perusahaan besar kartu ganti oli doang bohong, kartu ganti oli ngga ada berarti oli palsu",selama beli oli di blibli dari dulu ngga pernah bermasalah sudah ada 3kali beli oli dikirim oli yg deskripsi berikut kartu ganti oli yg 2kali ngga tanya cust service tapi yg ke3 kali tanya dulu dan pihak blibli menyatakan dapet kartu ganti oli dan kirim tapi tidak ada kartu ganti oli perusahaan besar kartu ganti oli doang bohong kartu ganti oli ngga ada berarti oli palsu, selama beli oli di blibli dari dulu tidak pernah bermasalah sudah ada 3kali beli oli dikirim oli yang deskripsi berikut kartu ganti oli yang 2kali tidak tanya cust service tapi yang ke3 kali tanya dulu dan pihak blibli menyatakan dapet kartu ganti oli dan kirim tapi tidak ada kartu ganti oli perusahaan besar kartu ganti oli doang bohong kartu ganti oli tidak ada berarti oli palsu , selama beli oli blibli dulu pernah bermasalah 3kali beli oli dikirim oli deskripsi kartu ganti oli 2kali tanya cust service yang ke3 kali tanya dulu pihak blibli menyatakan dapet kartu ganti oli kirim ada kartu ganti oli perusahaan besar kartu ganti oli doang bohong kartu ganti oli tidak ada berarti oli palsu ,"['selama', 'beli', 'oli', 'blibli', 'dulu', 'pernah', 'bermasalah', '3kali', 'beli', 'oli', 'dikirim', 'oli', 'deskripsi', 'kartu', 'ganti', 'oli', '2kali', 'tanya', 'cust', 'service', 'yang', 'ke3', 'kali', 'tanya', 'dulu', 'pihak', 'blibli', 'menyatakan', 'dapet', 'kartu', 'ganti', 'oli', 'kirim', 'ada', 'kartu', 'ganti', 'oli', 'perusahaan', 'besar', 'kartu', 'ganti', 'oli', 'doang', 'bohong', 'kartu', 'ganti', 'oli', 'tidak', 'ada', 'berarti', 'oli', 'palsu']",lama beli oli blibli dulu pernah masalah 3kali beli oli kirim oli deskripsi kartu ganti oli 2kali tanya cust service yang ke3 kali tanya dulu pihak blibli nyata dapet kartu ganti oli kirim ada kartu ganti oli usaha besar kartu ganti oli doang bohong kartu ganti oli tidak ada arti oli palsu
negatif,"Pengiriman sekarang lama, kurirnya malas maunya kirim ke alamat rumah yang akses jalan lebar, gak mau daerah kampung. Beli dalam skala besar pakai kargo lama minta ampun",pengiriman sekarang lama kurirnya malas maunya kirim ke alamat rumah yang akses jalan lebar gak mau daerah kampung beli dalam skala besar pakai kargo lama minta ampun, pengiriman sekarang lama kurirnya malas maunya kirim ke alamat rumah yang akses jalan lebar tidak mau daerah kampung beli dalam skala besar pakai kargo lama minta ampun , pengiriman sekarang lama kurirnya malas maunya kirim alamat rumah akses jalan lebar mau daerah kampung beli skala besar pakai kargo lama minta ampun ,"['pengiriman', 'sekarang', 'lama', 'kurirnya', 'malas', 'maunya', 'kirim', 'alamat', 'rumah', 'akses', 'jalan', 'lebar', 'mau', 'daerah', 'kampung', 'beli', 'skala', 'besar', 'pakai', 'kargo', 'lama', 'minta', 'ampun']",kirim sekarang lama kurir malas mau kirim alamat rumah akses jalan lebar mau daerah kampung beli skala besar pakai kargo lama minta ampun
negatif,apk nyusahin... sering bngt transaksi gagal.. topup dll. sangat tidam recomended,apk nyusahin sering bngt transaksi gagal topup dll sangat tidam recomended, apk nyusahin sering bngt transaksi gagal topup dll sangat tidam recomended , apk nyusahin sering bngt transaksi gagal topup sangat tidam recomended ,"['apk', 'nyusahin', 'sering', 'bngt', 'transaksi', 'gagal', 'topup', 'sangat', 'tidam', 'recomended']",apk nyusahin sering bngt transaksi gagal topup sangat tidam recomended
negatif,"perlu belajar tanggung jawab etika dan moral, customer prioritas nomber one.",perlu belajar tanggung jawab etika dan moral customer prioritas nomber one, perlu belajar tanggung jawab etika dan moral customer prioritas nomber one , perlu belajar tanggung jawab etika moral customer prioritas nomber one ,"['perlu', 'belajar', 'tanggung', 'jawab', 'etika', 'moral', 'customer', 'prioritas', 'nomber', 'one']",perlu ajar tanggung jawab etika moral customer prioritas nomber one
negatif,"apk apa ini woy, pesanan 2 hari proses tiba""di cancel kalo niat bikin event yang serius Napa...",apk apa ini woy pesanan 2 hari proses tibadi cancel kalo niat bikin event yang serius napa, apk apa ini woy pesanan 2 hari proses tibadi cancel kalo niat bikin event yang serius napa , apk ini woy pesanan 2 hari proses tibadi cancel kalo niat bikin event serius napa ,"['apk', 'ini', 'woy', 'pesanan', '2', 'hari', 'proses', 'tibadi', 'cancel', 'kalo', 'niat', 'bikin', 'event', 'serius', 'napa']",apk ini woy pesan 2 hari proses tibadi cancel kalo niat bikin event serius napa
negatif,"Poin Blibli itu gak berguna sama sekali . Baru juga poin terkumpul, sebulan kemudian kadaluarsa. Mending hapus aja itu poin. Aplikasinya pun lelet banget.",poin blibli itu gak berguna sama sekali baru juga poin terkumpul sebulan kemudian kadaluarsa mending hapus aja itu poin aplikasinya pun lelet banget, poin blibli itu tidak berguna sama sekali baru juga poin terkumpul sebulan kemudian kadaluarsa mending hapus aja itu poin aplikasinya pun lelet banget , poin blibli tidak berguna sama sekali juga poin terkumpul sebulan kadaluarsa mending hapus aja poin aplikasinya lelet banget ,"['poin', 'blibli', 'tidak', 'berguna', 'sama', 'sekali', 'juga', 'poin', 'terkumpul', 'sebulan', 'kadaluarsa', 'mending', 'hapus', 'aja', 'poin', 'aplikasinya', 'lelet', 'banget']",poin blibli tidak guna sama sekali juga poin kumpul bulan kadaluarsa mending hapus aja poin aplikasi lelet banget
positif,mantulll,mantulll, mantulll , mantulll ,['mantulll'],mantulll
negatif,tidak ada tanggung jawab,tidak ada tanggung jawab, tidak ada tanggung jawab , ada tanggung jawab ,"['ada', 'tanggung', 'jawab']",ada tanggung jawab
positif,mudah dan harganya itu lho,mudah dan harganya itu lho, mudah dan harganya itu lho , mudah harganya lho ,"['mudah', 'harganya', 'lho']",mudah harga lho
negatif,"Tampilan terlalu ramai, sulit menentukan prioritas informasi yg mau di-Digest.",tampilan terlalu ramai sulit menentukan prioritas informasi yg mau didigest, tampilan terlalu ramai sulit menentukan prioritas informasi yang mau didigest , tampilan terlalu ramai sulit menentukan prioritas informasi mau didigest ,"['tampilan', 'terlalu', 'ramai', 'sulit', 'menentukan', 'prioritas', 'informasi', 'mau', 'didigest']",tampil terlalu ramai sulit tentu prioritas informasi mau didigest
positif,semoga sukses selalu 👍,semoga sukses selalu, semoga sukses selalu , semoga sukses selalu ,"['semoga', 'sukses', 'selalu']",moga sukses selalu
negatif,gagal akses mulu knp sih,gagal akses mulu knp sih, gagal akses mulu knp sih , gagal akses mulu knp sih ,"['gagal', 'akses', 'mulu', 'knp', 'sih']",gagal akses mulu knp sih
positif,"Baru coba lagi setelah sekian lama, ingin mencoba lagi karena sedang banyak promo.. 👍👍",baru coba lagi setelah sekian lama ingin mencoba lagi karena sedang banyak promo, baru coba lagi setelah sekian lama ingin mencoba lagi karena sedang banyak promo , coba setelah sekian lama mencoba karena banyak promo ,"['coba', 'setelah', 'sekian', 'lama', 'mencoba', 'karena', 'banyak', 'promo']",coba telah sekian lama coba karena banyak promo
positif,sangat membantu,sangat membantu, sangat membantu , membantu ,['membantu'],bantu
positif,mantap poll,mantap poll, mantap poll , mantap poll ,"['mantap', 'poll']",mantap poll
